date,open,high,low,close,volume,amount,adjustflag,turn,pctChg
2026-03-02,21.3100000000,21.5100000000,20.5500000000,20.7500000000,18803415,393292033.3600,2,5.379400,-5.638900
2026-03-03,20.8200000000,20.8800000000,19.8000000000,19.8000000000,14677923,296177294.9500,2,4.199100,-4.578300
2026-03-04,19.6100000000,19.9600000000,19.4000000000,19.4800000000,8783260,172512052.6000,2,2.512800,-1.616200
2026-03-05,19.8900000000,19.9600000000,19.5700000000,19.7000000000,7138855,141004247.9000,2,2.042300,1.129400
2026-03-06,19.5700000000,20.1300000000,19.5600000000,20.0900000000,7121341,142285429.0000,2,2.037300,1.979700
2026-03-09,19.8600000000,20.4900000000,19.5700000000,20.3900000000,11206566,224380835.8700,2,3.206000,1.493300
2026-03-10,20.5500000000,20.9200000000,20.2400000000,20.4800000000,9584653,196771803.7500,2,2.742000,0.441400
2026-03-11,20.3900000000,20.5200000000,20.1800000000,20.2000000000,7476966,151769140.5100,2,2.139000,-1.367200
2026-03-12,20.1600000000,20.3800000000,19.9800000000,20.0600000000,5939163,119669175.1900,2,1.699100,-0.693100
2026-03-13,19.9400000000,19.9800000000,19.5600000000,19.6300000000,6964121,137325847.5200,2,1.992300,-2.143600
2026-03-16,19.5800000000,19.8700000000,19.5000000000,19.8300000000,5879500,115683841.6000,2,1.682000,1.018800
2026-03-17,19.8700000000,20.0800000000,19.7100000000,19.8100000000,7961680,158362306.8400,2,2.277700,-0.100900
2026-03-18,20.0300000000,20.0600000000,19.6700000000,20.0300000000,6525874,129566318.3600,2,1.867000,1.110600
2026-03-19,19.8100000000,19.9300000000,19.5300000000,19.6100000000,7188344,141614081.8300,2,2.056500,-2.096900
2026-03-20,19.6000000000,19.7900000000,18.5200000000,18.5300000000,10984764,208856192.2200,2,3.142600,-5.507400
2026-03-23,18.1800000000,18.2600000000,17.0100000000,17.1800000000,12059613,213263538.7500,2,3.450100,-7.285500
2026-03-24,17.4800000000,17.8000000000,17.1400000000,17.7600000000,7388346,129020452.2600,2,2.113700,3.376000
2026-03-25,17.7600000000,18.2100000000,17.7600000000,17.9700000000,7146600,128880113.2000,2,2.044500,1.182400
2026-03-26,17.9300000000,18.1000000000,17.4100000000,17.4700000000,5962723,105399380.3800,2,1.705800,-2.782400
2026-03-27,17.2300000000,17.8400000000,17.1600000000,17.7200000000,4781369,84249939.9100,2,1.367900,1.431000
2026-03-30,17.5500000000,17.7700000000,17.3300000000,17.7200000000,4602360,80998200.1000,2,1.316700,0.000000
2026-03-31,17.7100000000,17.9500000000,17.4500000000,17.4800000000,4404954,77988884.2900,2,1.260200,-1.354400
2026-04-01,17.9000000000,17.9700000000,17.6500000000,17.7700000000,4962800,88253605.3400,2,1.419800,1.659000
2026-04-02,17.7800000000,17.7800000000,17.1000000000,17.2100000000,5416707,94146870.8000,2,1.549600,-3.151400
2026-04-03,17.3300000000,17.5700000000,16.9800000000,16.9800000000,4700876,80436932.4800,2,1.344900,-1.336400
2026-04-07,17.0300000000,17.3400000000,17.0000000000,17.1600000000,4002050,68878656.8000,2,1.144900,1.060100
2026-04-08,17.5500000000,18.3000000000,17.5300000000,18.2600000000,9555109,172031121.9000,2,2.733600,6.410300
2026-04-09,18.0200000000,18.1300000000,17.7400000000,17.8100000000,6392500,114443002.0000,2,1.828800,-2.464400
2026-04-10,17.9700000000,18.4500000000,17.9500000000,18.3000000000,9609457,175287986.9500,2,2.749100,2.751300
2026-04-13,18.0200000000,18.2300000000,17.9500000000,18.0300000000,6501988,117550745.5900,2,1.860100,-1.475400
2026-04-14,18.2900000000,18.4000000000,18.0700000000,18.2700000000,6428600,117129673.8800,2,1.839100,1.331100
