date,open,high,low,close,volume,amount,adjustflag,turn,pctChg
2026-03-02,7.15,7.21,7.07,7.13,8932700,63804710.0,2,1.0474,-1.2465
2026-03-03,7.12,7.19,6.95,6.98,10862800,76643125.0,2,1.2737,-2.1038
2026-03-04,6.91,6.98,6.76,6.79,13932497,95631249.6,2,1.6336,-2.7221
2026-03-05,6.88,6.99,6.87,6.94,9027179,62609929.31,2,1.0584,2.2091
2026-03-06,6.96,7.05,6.91,7.04,6207928,43462970.91,2,0.7279,1.4409
2026-03-09,6.99,7.0,6.88,6.94,8613950,59690689.5,2,1.01,-1.4205
2026-03-10,6.96,7.04,6.96,7.04,7743000,54307447.0,2,0.9079,1.4409
2026-03-11,7.07,7.07,6.99,7.03,6591460,46321903.1,2,0.7728,-0.142
2026-03-12,7.03,7.07,6.95,6.97,7199050,50458928.5,2,0.8441,-0.8535
2026-03-13,6.95,7.02,6.89,6.9,9721650,67552299.5,2,1.1399,-1.0043
2026-03-16,6.9,6.91,6.78,6.81,11432850,77887786.0,2,1.3405,-1.3043
2026-03-17,6.82,6.89,6.77,6.77,6460277,44052547.29,2,0.7575,-0.5874
2026-03-18,6.77,6.83,6.71,6.82,8737900,58970479.0,2,1.0245,0.7386
2026-03-19,6.76,6.8,6.67,6.7,5795450,38939248.0,2,0.6795,-1.7595
2026-03-20,6.69,6.73,6.58,6.6,6080000,40466332.0,2,0.7129,-1.4925
2026-03-23,6.55,6.55,6.19,6.21,10918879,69277117.23,2,1.2802,-5.9091
2026-03-24,6.44,6.44,6.24,6.43,7219500,45815149.0,2,0.8465,3.5427
2026-03-25,6.37,6.54,6.37,6.53,5959400,38676031.0,2,0.6987,1.5552
2026-03-26,6.53,6.63,6.48,6.5,4950500,32384443.5,2,0.5804,-0.4594
2026-03-27,6.41,6.55,6.41,6.53,3013500,19626090.0,2,0.3533,0.4615
2026-03-30,6.43,6.72,6.42,6.67,7285202,47997328.32,2,0.8542,2.144
2026-03-31,6.62,7.01,6.6,6.85,18917300,130558914.0,2,2.2181,2.6987
2026-04-01,6.89,6.92,6.67,6.71,14525940,97720311.3,2,1.7032,-2.0438
2026-04-02,6.67,6.72,6.56,6.63,6787550,44998426.0,2,0.7958,-1.1923
2026-04-03,6.63,6.63,6.46,6.57,6628679,43268563.45,2,0.7772,-0.905
2026-04-07,6.52,6.59,6.48,6.54,4175050,27279504.0,2,0.4895,-0.4566
2026-04-08,6.66,6.78,6.63,6.76,7454570,50102104.9,2,0.874,3.3639
2026-04-09,6.72,6.75,6.65,6.71,5189300,34753219.0,2,0.6084,-0.7396
2026-04-10,6.73,6.83,6.73,6.8,4994495,33936924.25,2,0.5856,1.3413
2026-04-13,6.8,6.8,6.73,6.79,3154725,21327128.25,2,0.3699,-0.1471
2026-04-14,6.81,6.85,6.76,6.84,3909216,26594934.8,2,0.4584,0.7364
2026-04-15,6.88,6.88,6.81,6.82,4810400,32900949.0,2,0.564,-0.2924
2026-04-16,6.85,6.85,6.76,6.79,4920800,33421486.0,2,0.577,-0.4399
2026-04-17,6.77,6.87,6.74,6.84,6171702,42093342.64,2,0.7236,0.7364
2026-04-20,6.81,6.85,6.79,6.84,3946750,26931199.5,2,0.4628,0.0
2026-04-21,6.81,6.83,6.78,6.8,3834400,26087305.0,2,0.4496,-0.5848
2026-04-22,6.8100000000,6.8600000000,6.7700000000,6.8500000000,4526816,30912506.1200,2,0.530800,0.735300
