date,open,high,low,close,volume,amount,adjustflag,turn,pctChg
2026-03-02,38.7300,39.0900,36.3300,36.7900,20964436,782664682.0600,3,15.605500,-7.259900
2026-03-03,37.0700,37.3500,34.0000,34.1400,18732017,657644718.7700,3,13.943700,-7.203000
2026-03-04,33.3000,35.1900,33.0800,33.4900,15945831,540937866.2800,3,11.869700,-1.903900
2026-03-05,34.1000,35.4000,33.4800,34.8900,18572797,642736651.7500,3,13.825200,4.180400
2026-03-06,34.0800,36.6000,32.4400,35.9800,21264633,735489100.5100,3,15.828900,3.124100
2026-03-09,34.0000,34.8900,33.0000,34.6300,14098126,478321913.5900,3,10.494300,-3.752100
2026-03-10,34.9700,36.5800,34.9500,35.2500,15243960,542414902.7100,3,11.347300,1.790400
2026-03-11,35.2400,36.3800,34.1900,36.3500,16399262,584448115.3900,3,12.207300,3.120600
2026-03-12,35.7000,38.8500,35.7000,38.0000,25515365,954741215.9700,3,18.993100,4.539200
2026-03-13,36.8500,37.1300,33.3500,33.3900,19078702,673934322.9600,3,14.201800,-12.131600
2026-03-16,32.2000,32.6700,29.3600,30.1800,21617905,655581779.8700,3,16.091900,-9.613700
2026-03-17,29.8400,30.2400,28.8000,28.9400,11659998,342646298.5000,3,8.679400,-4.108700
2026-03-18,29.5200,33.1300,29.2000,32.1800,18862935,586212874.3700,3,14.041200,11.195600
2026-03-19,31.3800,31.6000,29.9000,30.1300,11234394,343346359.3800,3,8.362600,-6.370400
2026-03-20,30.4300,30.9900,29.3000,29.3200,8866191,265249445.5000,3,6.599800,-2.688400
2026-03-23,28.6100,29.8000,27.0600,27.3800,10893076,308560859.8100,3,8.108600,-6.616600
2026-03-24,28.4500,28.6200,26.9300,27.8600,8120431,224605896.9700,3,6.044700,1.753100
2026-03-25,28.1100,29.0600,27.4200,27.6100,8520176,240409209.6000,3,6.342200,-0.897300
2026-03-26,28.1500,29.6600,27.2600,28.4200,14584965,414088389.7100,3,10.856700,2.933700
2026-03-27,27.6200,28.4500,27.5300,27.9500,8504631,237943545.2900,3,6.330700,-1.653800
2026-03-30,27.1900,29.2000,27.1900,28.9500,11574662,330535991.7400,3,8.615900,3.577800
2026-03-31,28.8400,29.4900,27.5600,27.5800,10012484,285195419.9600,3,7.453100,-4.732300
2026-04-01,28.2000,28.6500,27.3200,27.6900,7356000,204913031.9600,3,5.475600,0.398800
2026-04-02,27.4700,27.8700,26.7900,27.0600,7374405,200605019.5400,3,5.489300,-2.275200
2026-04-03,27.0000,27.2000,25.9000,26.1000,7543414,198060282.2000,3,5.615200,-3.547700
2026-04-07,26.2100,26.7400,26.0900,26.1700,4861243,128254291.0200,3,3.618600,0.268200
2026-04-08,26.9500,28.9900,26.9500,28.7000,9955152,281839309.2400,3,7.410400,9.667600
2026-04-09,28.4600,28.8800,27.7200,28.4700,7493781,212354436.8000,3,5.578200,-0.801400
2026-04-10,28.7500,29.4000,28.4600,29.0800,10954710,317592891.0000,3,8.154400,2.142600
2026-04-13,28.7900,29.6800,28.0000,29.5000,10193503,294001358.6400,3,7.587800,1.444300
2026-04-14,33.2200,35.0000,32.2500,33.8000,33057803,1109317841.5300,3,24.607500,14.576300
