date,open,high,low,close,volume,amount,adjustflag,turn,pctChg
2026-03-02,51.0200000000,53.1500000000,48.9000000000,49.0500000000,6730353,336980328.1800,2,6.450900,-6.393100
2026-03-03,49.3900000000,51.0000000000,47.6300000000,47.6300000000,5964400,291535685.4600,2,5.716800,-2.895000
2026-03-04,47.2700000000,49.8500000000,47.0100000000,48.6900000000,6084290,295348928.1600,2,5.831700,2.225500
2026-03-05,49.8000000000,49.8300000000,46.8500000000,49.0600000000,6121020,293950224.5400,2,5.866900,0.759900
2026-03-06,48.6700000000,49.5500000000,47.9800000000,48.9200000000,3831851,187042093.2400,2,3.672800,-0.285400
2026-03-09,47.9200000000,50.2500000000,47.6800000000,50.2500000000,6006097,295533282.9900,2,5.756700,2.718700
2026-03-10,50.0600000000,51.2000000000,49.2300000000,49.8800000000,5950963,298356011.3600,2,5.703900,-0.736300
2026-03-11,49.6700000000,51.4800000000,49.1600000000,49.9000000000,6556184,330448463.8200,2,6.284000,0.040100
2026-03-12,50.0500000000,51.5500000000,48.7200000000,49.2000000000,4748904,237442817.3600,2,4.551700,-1.402800
2026-03-13,48.5000000000,50.5000000000,48.3200000000,49.3300000000,4435358,218915506.1300,2,4.251200,0.264200
2026-03-16,49.3300000000,50.0500000000,48.1500000000,49.5000000000,3389841,167003459.9100,2,3.249100,0.344600
2026-03-17,50.0000000000,51.3500000000,49.6900000000,50.5500000000,6580932,332803363.9900,2,6.307700,2.121200
2026-03-18,50.4600000000,51.3200000000,49.2000000000,51.1200000000,5405477,272140834.3100,2,5.181100,1.127600
2026-03-19,50.5300000000,52.3400000000,48.5000000000,52.0900000000,6836277,345544180.9100,2,6.552400,1.897500
2026-03-20,52.1200000000,54.5000000000,51.3300000000,54.1100000000,7819215,416072767.3900,2,7.494600,3.877900
2026-03-23,52.0000000000,54.0000000000,48.3300000000,49.1900000000,7082624,367131309.1900,2,6.788600,-9.092600
2026-03-24,49.1500000000,54.6000000000,49.0100000000,54.2000000000,8067379,419393096.5800,2,7.732400,10.185000
2026-03-25,53.8000000000,53.8000000000,49.7600000000,50.3600000000,9754494,503316024.4000,2,9.349500,-7.084900
2026-03-26,49.3600000000,49.7600000000,43.1300000000,45.6000000000,11452524,524711501.1300,2,10.977000,-9.451900
2026-03-27,43.5000000000,43.9000000000,41.6000000000,42.3300000000,6430648,274225647.8800,2,6.163700,-7.171100
2026-03-30,41.0100000000,42.0000000000,40.0500000000,41.9200000000,4329652,177560563.0400,2,4.149900,-0.968600
2026-03-31,41.6600000000,41.6600000000,38.6200000000,38.6200000000,5280759,211629137.1400,2,5.061500,-7.872100
2026-04-01,40.2100000000,40.7700000000,38.9300000000,40.3400000000,4359203,174014642.1100,2,4.178200,4.453700
2026-04-02,39.5800000000,40.2900000000,37.8500000000,38.2500000000,3797332,147009139.5900,2,3.639700,-5.181000
2026-04-03,38.2800000000,38.5000000000,37.0800000000,37.1500000000,3088016,116031953.4000,2,2.959800,-2.875800
2026-04-07,36.9800000000,37.6900000000,36.9800000000,37.5400000000,2449601,91657965.3300,2,2.347900,1.049800
2026-04-08,38.3000000000,40.0800000000,38.3000000000,40.0400000000,3913496,154492078.2900,2,3.751000,6.659600
2026-04-09,39.6600000000,39.6600000000,38.7100000000,39.2600000000,2565398,100318980.3900,2,2.458900,-1.948100
2026-04-10,39.3000000000,40.8300000000,39.3000000000,39.8700000000,3028617,121605377.2000,2,2.902900,1.553700
2026-04-13,39.5000000000,40.6900000000,39.5000000000,40.0100000000,2546868,102136216.5600,2,2.441100,0.351100
2026-04-14,40.0400000000,40.3900000000,39.2200000000,39.8200000000,2426445,96100722.2600,2,2.325700,-0.474900
