date,open,high,low,close,volume,amount,adjustflag,turn,pctChg
2026-03-02,29.06,29.2,28.02,28.05,8034354,227462431.15,2,1.1698,-4.0698
2026-03-03,28.05,28.24,27.11,27.19,7560135,207907005.41,2,1.1007,-3.066
2026-03-04,26.95,27.46,26.45,26.71,6138203,165052496.5,2,0.8937,-1.7654
2026-03-05,27.05,27.43,26.61,27.06,4465565,120643209.22,2,0.6502,1.3104
2026-03-06,27.01,28.18,26.93,27.94,5791566,161271164.89,2,0.8432,3.252
2026-03-09,27.76,27.9,27.37,27.8,5817731,160837528.96,2,0.847,-0.5011
2026-03-10,27.92,28.8,27.92,28.69,5993368,170167084.85,2,0.8726,3.2014
2026-03-11,28.71,28.72,27.9,27.91,5742428,161588003.7,2,0.8361,-2.7187
2026-03-12,28.06,28.1,27.37,27.6,4057825,112005779.94,2,0.5908,-1.1107
2026-03-13,27.55,27.84,27.36,27.47,3506975,96548491.75,2,0.5106,-0.471
2026-03-16,27.31,27.77,27.14,27.66,3519529,96706740.12,2,0.5124,0.6917
2026-03-17,27.66,28.28,27.35,27.45,5271226,146380801.42,2,0.7675,-0.7592
2026-03-18,27.44,27.57,27.1,27.26,3300228,90039347.16,2,0.4805,-0.6922
2026-03-19,27.0,27.23,26.55,26.65,3726050,99943119.32,2,0.5425,-2.2377
2026-03-20,26.66,27.0,25.99,26.01,5480978,144178468.43,2,0.798,-2.4015
2026-03-23,25.48,25.79,24.5,24.76,6250663,156512776.88,2,0.9101,-4.8058
2026-03-24,25.11,25.49,25.01,25.46,4407339,111342122.35,2,0.6417,2.8271
2026-03-25,25.79,25.79,25.35,25.52,3375761,86320022.23,2,0.4915,0.2357
2026-03-26,25.52,26.03,25.03,25.14,4201941,106899881.17,2,0.6118,-1.489
2026-03-27,24.92,27.65,24.88,27.65,8309800,222643800.0,2,1.2099,9.9841
2026-03-30,28.14,29.01,28.01,28.46,24707154,704423013.54,2,3.5973,2.9295
2026-03-31,28.48,29.15,28.3,28.9,19082764,547886147.82,2,2.7784,1.546
2026-04-01,28.8,30.5,28.39,30.25,27936149,829371745.52,2,4.0674,4.6713
2026-04-02,29.8,30.6,29.3,30.0,16695616,496600387.15,2,2.4308,-0.8264
2026-04-03,29.25,29.53,28.55,28.64,13238264,381943870.3,2,1.9274,-4.5333
2026-04-07,28.63,29.07,27.92,28.43,12129220,344573939.67,2,1.766,-0.7332
2026-04-08,28.8,29.04,28.27,28.57,12651221,360890310.45,2,1.842,0.4924
2026-04-09,28.31,28.86,27.96,28.09,10515189,296981470.45,2,1.531,-1.6801
2026-04-10,28.08,28.6,27.79,28.05,11205441,315509053.56,2,1.6315,-0.1424
2026-04-13,28.0,28.29,27.4,27.81,9874237,274724459.85,2,1.4376,-0.8556
2026-04-14,28.04,28.07,26.12,27.14,21099665,566286178.76,2,3.072,-2.4092
2026-04-15,27.44,27.68,26.59,27.68,16421569,447691134.05,2,2.3909,1.9897
2026-04-16,27.55,27.84,26.8,27.28,12644175,344540742.19,2,1.8409,-1.4451
2026-04-17,27.19,27.25,26.34,26.62,10875416,290107821.44,2,1.5834,-2.4194
2026-04-20,26.62,27.88,26.39,27.01,18168564,491435285.82,2,2.6453,1.4651
2026-04-21,26.74,27.32,26.56,26.73,10514400,282266001.0,2,1.5309,-1.0367
2026-04-22,26.53,26.76,26.25,26.74,9150874,242893219.98,2,1.3323,0.0374
2026-04-23,25.74,26.0,25.22,25.79,15629271,400210209.19,2,2.2758,-3.5527
2026-04-24,25.58,25.93,24.87,25.54,9716033,246566025.87,2,1.4147,-0.9694
2026-04-27,25.4,25.63,25.21,25.3,6556288,166234715.85,2,0.9547,-0.9397
2026-04-28,25.2100000000,25.7500000000,24.4000000000,24.4900000000,11764068,292405013.0300,2,1.713000,-3.201600
