date,open,high,low,close,volume,amount,adjustflag,turn,pctChg
2026-03-02,27.5,28.31,27.41,27.72,123169169,3425918829.57,2,2.4599,-0.5025
2026-03-03,27.63,28.05,26.4,26.46,189439531,5081710210.02,2,3.7834,-4.5455
2026-03-04,26.18,27.12,25.92,26.42,115750678,3068207962.78,2,2.3117,-0.1512
2026-03-05,27.39,28.29,27.2,27.91,156969503,4375001855.72,2,3.1349,5.6397
2026-03-06,27.45,28.89,26.93,28.16,161909957,4538183867.14,2,3.2336,0.8957
2026-03-09,26.7,26.95,25.41,26.66,167652782,4391240788.56,2,3.3483,-5.3267
2026-03-10,27.4,28.35,27.25,27.82,148598944,4150709022.61,2,2.9678,4.3511
2026-03-11,27.68,27.82,25.8,26.56,168873628,4498324886.86,2,3.3727,-4.5291
2026-03-12,26.41,26.55,24.83,25.2,200336124,5065645690.08,2,4.001,-5.1205
2026-03-13,25.04,25.7,24.68,24.88,143967759,3610079349.22,2,2.8753,-1.2698
2026-03-16,24.82,24.83,24.04,24.55,104751078,2553117872.61,2,2.092,-1.3264
2026-03-17,25.0,25.83,24.68,24.7,124128310,3129803675.29,2,2.4808,0.611
2026-03-18,24.88,25.5,24.51,25.37,101533256,2538074575.79,2,2.0292,2.7126
2026-03-19,24.34,24.67,23.67,23.8,140273340,3371606197.61,2,2.8035,-6.1884
2026-03-20,24.07,24.3,23.22,23.36,109039194,2574780388.94,2,2.1793,-1.8487
2026-03-23,22.73,23.1,22.33,22.54,115166632,2621067636.19,2,2.3017,-3.5103
2026-03-24,23.0,23.86,22.54,23.71,134394765,3148723925.37,2,2.686,5.1908
2026-03-25,24.81,25.6,24.39,24.52,130132225,3241925867.25,2,2.6008,3.4163
2026-03-26,24.73,24.73,23.64,23.78,81847664,1966240533.91,2,1.6358,-3.0179
2026-03-27,21.5,23.88,21.4,23.5,298968970,6748424176.3,2,5.9752,-1.1775
2026-03-30,22.78,24.79,22.78,24.43,175695296,4253900377.14,2,3.5115,3.9574
2026-03-31,24.32,24.76,24.01,24.24,99295205,2422892411.62,2,1.9845,-0.7777
2026-04-01,25.0,25.49,24.8,25.3,120356003,3035964526.44,2,2.4054,4.3729
2026-04-02,25.4,25.8,25.13,25.35,82976910,2104701953.42,2,1.6584,0.1976
2026-04-03,25.39,25.9,25.06,25.1,64469463,1633546878.39,2,1.2885,-0.9862
2026-04-07,25.1,25.14,23.75,23.88,103611330,2503570293.29,2,2.0708,-4.8606
2026-04-08,25.36,26.0,24.95,25.4,146967369,3715654666.56,2,2.9373,6.3652
2026-04-09,25.0,26.28,24.9,25.98,137018825,3533828169.22,2,2.7385,2.2835
2026-04-10,26.55,27.2,26.11,27.0,127133011,3413674977.19,2,2.5409,3.9261
2026-04-13,26.3,27.23,25.97,26.88,99619101,2650171129.0,2,1.991,-0.4444
2026-04-14,28.56,29.08,25.95,26.18,140949610,3790972782.48,2,2.817,-2.6042
2026-04-15,27.0,27.5,26.51,26.6,124666116,3362959787.79,2,2.4916,1.6043
2026-04-16,26.78,27.57,26.38,27.4,120264389,3241034069.35,2,2.4036,3.0075
2026-04-17,27.13,27.13,26.35,26.5,94608966,2514129347.43,2,1.8909,-3.2847
2026-04-20,26.56,27.43,26.21,26.36,108584270,2917441424.17,2,2.1702,-0.5283
2026-04-21,26.35,27.07,26.15,26.93,95462348,2549436042.18,2,1.9079,2.1624
2026-04-22,26.66,28.42,26.5,27.98,120956081,3333223352.68,2,2.4174,3.899
2026-04-23,29.39,30.18,28.83,29.49,203915274,6034776643.57,2,4.0755,5.3967
2026-04-24,29.67,29.95,28.94,29.59,104674274,3085838067.54,2,2.092,0.3391
2026-04-27,29.72,30.69,29.54,29.66,103704990,3107949027.71,2,2.0727,0.2366
2026-04-28,29.73,30.4,29.53,30.08,114330753,3428973380.56,2,2.285,1.416
2026-04-29,30.0,30.3,29.66,30.15,73806704,2213855173.47,2,1.4751,0.2327
2026-04-30,30.9000000000,32.6600000000,30.8100000000,31.2000000000,169633923,5366035686.6000,2,3.390300,3.482600
