date,open,high,low,close,volume,amount,adjustflag,turn,pctChg
2026-03-02,52.19,52.3,50.09,50.23,4700142,239236717.19,2,4.2496,-6.0595
2026-03-03,50.11,50.79,46.94,47.2,3818552,185656915.88,2,3.4525,-6.0323
2026-03-04,46.0,47.54,46.0,46.4,2258524,105395496.33,2,2.042,-1.6949
2026-03-05,47.49,48.26,46.68,47.02,2601368,123450607.43,2,2.352,1.3362
2026-03-06,46.02,47.83,46.0,47.81,1915407,90820538.16,2,1.7318,1.6801
2026-03-09,46.62,48.5,46.18,48.17,2756409,130154287.67,2,2.4922,0.753
2026-03-10,49.08,49.9,48.4,49.29,2619569,128624029.52,2,2.3685,2.3251
2026-03-11,49.28,49.76,47.85,47.99,2186770,106426681.96,2,1.9772,-2.6375
2026-03-12,48.35,48.39,46.3,47.15,1921322,91328229.94,2,1.7372,-1.7504
2026-03-13,47.04,47.12,46.12,46.13,1378574,64239753.36,2,1.2464,-2.1633
2026-03-16,45.91,46.93,45.46,46.91,1383343,63858638.41,2,1.2507,1.6909
2026-03-17,46.93,46.97,45.1,45.2,1713050,78858585.82,2,1.5488,-3.6453
2026-03-18,45.5,46.48,45.1,46.37,1483000,67937497.95,2,1.3409,2.5885
2026-03-19,45.67,46.44,45.31,45.66,1553606,71185066.82,2,1.4047,-1.5312
2026-03-20,45.9,46.29,43.5,43.7,2248903,100720228.57,2,2.0333,-4.2926
2026-03-23,42.94,43.01,40.04,40.19,2925781,121300297.24,2,2.6453,-8.032
2026-03-24,41.85,42.05,40.38,41.7,1988988,81790605.09,2,1.7983,3.7572
2026-03-25,42.53,43.3,42.01,42.83,1982998,85027924.16,2,1.7929,2.7098
2026-03-26,42.83,42.98,41.3,41.66,1418467,59743895.01,2,1.2825,-2.7317
2026-03-27,40.85,42.22,40.85,42.03,1299836,54316960.98,2,1.1752,0.8881
2026-03-30,41.18,41.71,40.63,41.43,1829218,75217633.08,2,1.6539,-1.4276
2026-03-31,41.4,42.06,40.6,40.68,1554033,64142858.56,2,1.4051,-1.8103
2026-04-01,41.51,41.98,41.37,41.8,1637317,68250224.42,2,1.4804,2.7532
2026-04-02,41.49,41.53,39.5,39.93,1866611,75306956.53,2,1.6877,-4.4737
2026-04-03,40.01,40.35,39.14,39.2,1298558,51525112.56,2,1.1741,-1.8282
2026-04-07,39.41,40.1,39.21,39.25,1020476,40374406.16,2,0.9227,0.1276
2026-04-08,41.5,44.07,40.78,44.01,3890770,165529677.07,2,3.5178,12.1274
2026-04-09,42.5,43.0,41.92,42.03,2793783,118475029.89,2,2.526,-4.499
2026-04-10,42.47,42.98,42.13,42.27,1904912,80966513.53,2,1.7223,0.571
2026-04-13,41.8,42.74,41.53,42.25,1284319,54162510.71,2,1.1612,-0.0473
2026-04-14,42.88,43.56,42.75,43.54,1860601,80321406.08,2,1.6823,3.0533
2026-04-15,44.13,44.2,42.51,42.65,1771290,76622467.12,2,1.6015,-2.0441
2026-04-16,42.75,44.1,42.75,43.88,2021781,88267188.35,2,1.828,2.8839
2026-04-17,43.88,44.25,43.4,43.58,1587146,69323458.94,2,1.435,-0.6837
2026-04-20,43.3,44.62,43.3,44.11,1811487,79941468.86,2,1.6379,1.2162
2026-04-21,44.05,44.05,42.42,42.88,1872652,80252044.52,2,1.6932,-2.7885
2026-04-22,41.8,42.41,40.3,42.35,3789630,156997213.02,2,3.4264,-1.236
2026-04-23,42.46,42.6,40.7,41.05,2220404,91915524.0,2,2.0076,-3.0697
2026-04-24,41.0,41.35,39.73,40.9,1988430,80806608.95,2,1.7978,-0.3654
2026-04-27,40.71,41.95,40.01,41.74,1807390,74491495.99,2,1.6341,2.0538
2026-04-28,41.72,41.72,39.9,40.15,1856393,75113330.49,2,1.6785,-3.8093
2026-04-29,40.6500000000,41.5800000000,40.0200000000,41.2100000000,2004461,82234275.3600,2,1.812300,2.640100
