date,open,high,low,close,volume,amount,adjustflag,turn,pctChg
2026-03-02,15.7000,16.0800,15.4900,15.5000,3213870,50287907.5400,3,1.112100,-3.185500
2026-03-03,15.5800,15.7300,15.1200,15.1200,2894447,44571095.7400,3,1.001600,-2.451600
2026-03-04,14.9900,15.2300,14.8600,15.0400,1747225,26258958.6900,3,0.604600,-0.529100
2026-03-05,15.3200,16.8500,15.3000,16.0800,7873893,127134257.3900,3,2.724700,6.914900
2026-03-06,16.1500,16.2400,15.8400,15.9200,3847178,61442603.3200,3,1.331300,-0.995000
2026-03-09,15.8300,15.9600,15.5000,15.9300,3080030,48486190.7500,3,1.065800,0.062800
2026-03-10,16.0000,16.2600,15.9300,16.1600,2303575,37220889.7200,3,0.797100,1.443800
2026-03-11,16.2400,16.2400,15.8600,15.8700,2056000,32860378.3800,3,0.711500,-1.794600
2026-03-12,15.8700,15.8900,15.5100,15.6100,1505885,23607810.8000,3,0.521100,-1.638300
2026-03-13,15.5800,15.7500,15.4300,15.4400,1740300,27115742.3700,3,0.602200,-1.089000
2026-03-16,15.3600,15.5600,15.3300,15.5400,1708043,26408109.9600,3,0.591100,0.647700
2026-03-17,15.4700,15.8500,15.4000,15.4500,1835763,28682737.8300,3,0.635300,-0.579200
2026-03-18,15.5800,15.6200,15.3500,15.5900,1228000,19031966.0000,3,0.424900,0.906100
2026-03-19,15.3800,15.6000,15.2900,15.3500,2113577,32556401.6400,3,0.731400,-1.539400
2026-03-20,15.4100,15.5000,14.7000,14.7000,2560277,38393651.1900,3,0.886000,-4.234500
2026-03-23,14.5000,14.5200,13.5200,13.6400,3748411,52708441.4900,3,1.297100,-7.210900
2026-03-24,13.9900,14.1600,13.6500,14.1600,2268600,31616255.0000,3,0.785000,3.812300
2026-03-25,14.1600,14.3600,14.1000,14.2300,1703100,24224312.0000,3,0.589300,0.494400
2026-03-26,14.1100,14.2700,13.7200,13.7600,2123400,29550166.0000,3,0.734800,-3.302900
2026-03-27,13.5500,14.0200,13.5400,13.9900,1638300,22734286.0000,3,0.566900,1.671500
2026-03-30,13.7900,14.0700,13.6100,14.0500,1482200,20662846.0000,3,0.512900,0.428900
2026-03-31,14.0800,14.2900,13.8000,13.8300,1337200,18669335.0000,3,0.462700,-1.565800
2026-04-01,14.0900,14.1900,13.9400,14.1000,1939160,27282188.7400,3,0.671000,1.952300
2026-04-02,14.0100,14.1300,13.6000,13.7200,2233501,30865379.0200,3,0.772900,-2.695000
2026-04-03,13.8300,13.8800,13.2500,13.3000,1810500,24304940.0000,3,0.626500,-3.061200
2026-04-07,13.3900,13.6500,13.3100,13.6200,1753943,23734999.1700,3,0.606900,2.406000
2026-04-08,13.8300,14.1500,13.8300,14.1500,1877105,26339355.2300,3,0.649600,3.891300
2026-04-09,14.1500,14.2200,13.8600,13.8800,1560118,21854372.2200,3,0.539900,-1.908100
2026-04-10,13.9600,14.2800,13.9600,14.1100,1944765,27564668.8000,3,0.673000,1.657100
2026-04-13,14.1000,14.1800,13.9200,14.0000,1322987,18552493.2600,3,0.457800,-0.779600
2026-04-14,14.2200,14.3400,13.9600,14.1500,1698049,23928454.8200,3,0.587600,1.071400
