date,open,high,low,close,volume,amount,adjustflag,turn,pctChg
2026-03-02,3.85,3.86,3.73,3.75,48460576,183049493.42,2,2.3112,-3.599
2026-03-03,3.74,3.76,3.57,3.58,43807839,159828238.1,2,2.0893,-4.5333
2026-03-04,3.54,3.61,3.51,3.56,23837842,84867038.52,2,1.1369,-0.5587
2026-03-05,3.61,3.61,3.55,3.57,22216603,79361649.76,2,1.0596,0.2809
2026-03-06,3.55,3.66,3.53,3.65,28707068,103960759.31,2,1.3691,2.2409
2026-03-09,3.62,3.63,3.56,3.62,23443103,84366680.74,2,1.1181,-0.8219
2026-03-10,3.63,3.65,3.59,3.62,21366700,77397304.0,2,1.019,0.0
2026-03-11,3.61,3.61,3.57,3.57,21198899,75911361.43,2,1.011,-1.3812
2026-03-12,3.57,3.61,3.55,3.56,19973667,71399542.81,2,0.9526,-0.2801
2026-03-13,3.57,3.61,3.55,3.57,24972250,89431609.5,2,1.191,0.2809
2026-03-16,3.58,3.61,3.55,3.59,26499700,94900046.0,2,1.2638,0.5602
2026-03-17,3.6,3.64,3.55,3.57,28575870,102667131.29,2,1.3629,-0.5571
2026-03-18,3.55,3.57,3.48,3.53,29060100,102116939.0,2,1.386,-1.1204
2026-03-19,3.5,3.59,3.49,3.51,28467700,100393583.0,2,1.3577,-0.5666
2026-03-20,3.51,3.54,3.37,3.37,35108126,120346888.66,2,1.6744,-3.9886
2026-03-23,3.26,3.32,3.14,3.16,55036877,177426787.32,2,2.6249,-6.2315
2026-03-24,3.2,3.28,3.15,3.28,41902124,134407832.74,2,1.9984,3.7975
2026-03-25,3.31,3.33,3.27,3.32,25473000,84195067.0,2,1.2149,1.2195
2026-03-26,3.31,3.38,3.27,3.28,20505200,67970492.0,2,0.9779,-1.2048
2026-03-27,3.25,3.53,3.23,3.47,57182294,195684979.92,2,2.7272,5.7927
2026-03-30,3.45,3.54,3.43,3.53,36658399,128259815.51,2,1.7483,1.7291
2026-03-31,3.53,3.62,3.52,3.52,30433354,108235895.73,2,1.4514,-0.2833
2026-04-01,3.55,3.6,3.46,3.6,34984269,124497657.69,2,1.6685,2.2727
2026-04-02,3.58,3.68,3.57,3.63,38679476,140106510.84,2,1.8447,0.8333
2026-04-03,3.6,3.61,3.48,3.48,36662366,129560934.9,2,1.7485,-4.1322
2026-04-07,3.48,3.57,3.4,3.53,29136668,102156582.92,2,1.3896,1.4368
2026-04-08,3.56,3.62,3.52,3.58,31471665,112044719.8,2,1.501,1.4164
2026-04-09,3.56,3.61,3.46,3.46,32606903,114688618.57,2,1.5551,-3.352
2026-04-10,3.48,3.55,3.43,3.47,23062518,80587652.63,2,1.0999,0.289
2026-04-13,3.45,3.48,3.41,3.43,23294900,80055122.0,2,1.111,-1.1527
2026-04-14,3.47,3.47,3.36,3.43,25801374,87739622.08,2,1.2305,0.0
2026-04-15,3.46,3.54,3.4,3.49,39365138,136824779.62,2,1.8774,1.7493
2026-04-16,3.49,3.49,3.42,3.44,25991910,89375444.25,2,1.2396,-1.4327
2026-04-17,3.43,3.43,3.31,3.38,43194100,145282812.0,2,2.06,-1.7442
2026-04-20,3.37,3.37,3.32,3.34,20679841,69124106.87,2,0.9863,-1.1834
2026-04-21,3.33,3.37,3.28,3.3,22410796,74181717.85,2,1.0688,-1.1976
2026-04-22,3.3,3.33,3.27,3.33,24060550,79513523.0,2,1.1475,0.9091
2026-04-23,3.32,3.42,3.31,3.37,37240750,125363507.5,2,1.7761,1.2012
2026-04-24,3.34,3.43,3.33,3.4,36310975,122936190.55,2,1.7318,0.8902
2026-04-27,3.35,3.58,3.3,3.54,58280412,201879318.31,2,2.7795,4.1176
2026-04-28,3.55,3.62,3.54,3.58,51536638,184535049.8,2,2.4579,1.1299
2026-04-29,3.55,3.64,3.51,3.62,37929415,136370317.73,2,1.809,1.1173
2026-04-30,3.6000000000,3.7200000000,3.5900000000,3.6400000000,36524428,133330363.5400,2,1.741900,0.552500
