date,open,high,low,close,volume,amount,adjustflag,turn,pctChg
2026-03-02,26.7900,26.8600,25.8900,26.3900,10043500,264086244.0000,3,5.348100,-2.259300
2026-03-03,26.4400,26.5100,24.8900,24.9600,9095713,232260428.3600,3,4.843400,-5.418700
2026-03-04,24.4000,25.6800,24.2500,25.0300,6419050,161608867.5000,3,3.418100,0.280400
2026-03-05,25.5200,25.5200,24.6700,24.9300,5361100,134137670.0000,3,2.854800,-0.399500
2026-03-06,24.8100,25.1700,24.5900,24.8100,3908200,97269574.9800,3,2.081100,-0.481300
2026-03-09,24.5900,24.6000,23.1300,23.8700,7138800,168813806.0000,3,3.771900,-3.788800
2026-03-10,23.9200,24.4500,23.9200,24.4500,4456894,108129334.8400,3,2.354900,2.429800
2026-03-11,24.4500,24.6500,23.7100,23.7300,4778013,114907471.1500,3,2.524500,-2.944800
2026-03-12,23.7000,23.8300,23.1900,23.3200,3984024,93405539.3400,3,2.105000,-1.727800
2026-03-13,23.3200,23.5600,22.8100,22.9000,3851602,89193979.2600,3,2.035000,-1.801000
2026-03-16,22.8500,23.0300,22.2800,22.7700,3630800,82007615.0000,3,1.918400,-0.567700
2026-03-17,22.8900,22.9600,22.2000,22.3100,3244800,73355664.0000,3,1.714400,-2.020200
2026-03-18,22.3500,22.4200,22.0300,22.4000,2567100,57011796.0000,3,1.356400,0.403400
2026-03-19,22.3100,22.3100,21.5600,21.6700,3414500,74501520.0000,3,1.804100,-3.258900
2026-03-20,21.6400,21.9900,21.0100,21.0800,3598400,76817545.0000,3,1.901300,-2.722700
2026-03-23,21.0000,21.2300,20.0500,20.1100,6403400,132466185.0000,3,3.383300,-4.601500
2026-03-24,20.5000,20.8500,20.1900,20.8300,3674212,75384223.9500,3,1.941300,3.580300
2026-03-25,20.9500,21.3600,20.9000,21.3400,3178334,67452742.2000,3,1.679300,2.448400
2026-03-26,21.3800,21.4900,21.0000,21.1600,2383300,50550551.0000,3,1.259200,-0.843500
2026-03-27,20.8900,21.7800,20.8900,21.7000,3453000,74384729.0000,3,1.824400,2.552000
2026-03-30,21.4500,21.9900,21.3000,21.8800,2588200,56276012.0000,3,1.367500,0.829500
2026-03-31,21.9500,21.9500,21.4100,21.4400,3649584,79022188.8000,3,1.928300,-2.011000
2026-04-01,21.7400,21.8900,21.2800,21.5600,2508800,53998831.0000,3,1.325600,0.559700
2026-04-02,21.5000,21.5500,21.0700,21.2300,2216800,47246165.0000,3,1.171300,-1.530600
2026-04-03,21.2500,21.3500,20.8900,20.9000,2034300,42753015.0000,3,1.074900,-1.554400
2026-04-07,21.1300,21.7400,20.7400,21.6600,3862500,82723200.0000,3,2.040800,3.636400
2026-04-08,21.9200,22.3400,21.8100,22.3300,3813783,84395159.1300,3,2.015100,3.093300
2026-04-09,22.1200,22.8400,22.1200,22.5000,3963800,89240642.0000,3,2.094300,0.761300
2026-04-10,22.7200,22.9400,22.5500,22.5600,2925869,66530581.7200,3,1.545900,0.266700
2026-04-13,22.6100,22.7800,22.3800,22.5600,2889600,65084908.0000,3,1.526800,0.000000
2026-04-14,22.8000,22.8000,22.3200,22.6300,2412500,54384329.0000,3,1.274700,0.310300
