date,open,high,low,close,volume,amount,adjustflag,turn,pctChg
2026-03-02,25.84,26.09,24.8,24.95,7353614,185574705.44,2,4.6696,-5.3131
2026-03-03,25.14,25.24,23.96,24.0,4742475,116478294.85,2,3.0115,-3.8076
2026-03-04,23.81,24.33,23.7,23.93,3580417,85994913.71,2,2.2736,-0.2917
2026-03-05,24.45,26.73,24.45,25.78,11801883,306898634.01,2,7.4942,7.7309
2026-03-06,25.39,25.51,24.71,25.0,6303540,157268658.01,2,4.0028,-3.0256
2026-03-09,24.6,24.6,23.88,24.4,5559532,134344812.93,2,3.5303,-2.4
2026-03-10,24.82,25.27,24.74,25.24,4563516,114164335.2,2,2.8978,3.4426
2026-03-11,25.2,25.4,24.84,24.9,3846260,96310276.4,2,2.4424,-1.3471
2026-03-12,24.81,25.1,24.38,24.42,3319060,81809391.39,2,2.1076,-1.9277
2026-03-13,24.26,24.95,24.2,24.39,3052313,75011479.28,2,1.9382,-0.1229
2026-03-16,24.38,24.49,24.12,24.35,2537764,61612612.28,2,1.6115,-0.164
2026-03-17,24.6,24.66,23.88,23.92,3183376,77034934.24,2,2.0215,-1.7659
2026-03-18,23.95,24.26,23.8,24.21,2441220,58589688.37,2,1.5502,1.2124
2026-03-19,23.8,23.99,23.46,23.57,3399720,80662527.6,2,2.1588,-2.6435
2026-03-20,23.62,24.06,22.96,23.0,3622426,85390242.65,2,2.3003,-2.4183
2026-03-23,22.4,22.7,21.3,21.43,5575573,122362363.22,2,3.5405,-6.8261
2026-03-24,21.91,22.29,21.51,22.27,4241170,92845880.18,2,2.6932,3.9197
2026-03-25,22.3,22.65,22.3,22.43,3052580,68650597.0,2,1.9384,0.7185
2026-03-26,22.32,22.49,21.75,21.88,3091560,68094812.0,2,1.9632,-2.4521
2026-03-27,21.66,22.28,21.51,22.14,2557530,56291216.75,2,1.624,1.1883
2026-03-30,21.92,22.14,21.62,22.05,2089920,45800503.2,2,1.3271,-0.4065
2026-03-31,21.96,22.46,21.67,21.71,3074925,67889940.2,2,1.9526,-1.542
2026-04-01,22.18,22.44,21.8,22.17,2985213,65750038.4,2,1.8956,2.1188
2026-04-02,22.17,22.17,21.35,21.53,2788400,60460572.0,2,1.7706,-2.8868
2026-04-03,21.63,21.68,21.03,21.03,2601947,55210417.64,2,1.6522,-2.3223
2026-04-07,21.12,21.38,21.0,21.22,2442200,51902811.0,2,1.5508,0.9035
2026-04-08,21.81,22.48,21.76,22.44,4168547,92515769.5,2,2.647,5.7493
2026-04-09,22.26,22.67,22.18,22.24,3096124,69280139.88,2,1.966,-0.8913
2026-04-10,22.34,22.84,22.34,22.67,3141200,71143495.0,2,1.9947,1.9335
2026-04-13,22.56,22.75,22.4,22.5,2723433,61305578.38,2,1.7294,-0.7499
2026-04-14,22.67,22.98,22.52,22.85,3201775,72970455.48,2,2.0331,1.5556
2026-04-15,23.0600000000,23.6400000000,23.0100000000,23.2400000000,4851883,113357882.7100,2,3.081000,1.706800
