date,open,high,low,close,volume,amount,adjustflag,turn,pctChg
2026-03-02,21.61,21.98,21.05,21.38,61234507,1306174618.35,2,3.9443,-0.6967
2026-03-03,21.26,21.3,19.55,19.62,76167031,1538123650.24,2,4.9061,-8.232
2026-03-04,19.3,20.05,19.21,19.75,37374643,739173843.54,2,2.4074,0.6626
2026-03-05,19.99,20.1,19.41,19.65,29897274,590412107.96,2,1.9258,-0.5063
2026-03-06,19.58,20.55,19.5,19.93,38176956,767725386.35,2,2.4591,1.4249
2026-03-09,19.59,19.63,18.84,19.22,50097380,957756419.56,2,3.2269,-3.5625
2026-03-10,19.38,19.85,19.37,19.51,26106971,510577824.66,2,1.6816,1.5088
2026-03-11,19.57,19.62,19.06,19.07,32303296,621197581.28,2,2.0807,-2.2553
2026-03-12,19.08,19.09,18.44,18.56,37869732,707192071.63,2,2.4393,-2.6744
2026-03-13,18.23,18.35,17.68,17.71,49641940,891897958.62,2,3.1976,-4.5797
2026-03-16,17.71,17.85,17.32,17.62,31962250,561853739.46,2,2.0588,-0.5082
2026-03-17,17.68,17.75,17.2,17.27,22365345,390867532.03,2,1.4406,-1.9864
2026-03-18,17.3,17.56,17.21,17.52,21697658,377417403.3,2,1.3976,1.4476
2026-03-19,17.3,17.35,17.01,17.1,23080854,395772344.58,2,1.4867,-2.3973
2026-03-20,17.23,17.29,16.66,16.67,24765451,418755912.48,2,1.5952,-2.5146
2026-03-23,16.37,16.39,15.95,16.05,32902343,532102531.61,2,2.1193,-3.7193
2026-03-24,16.26,16.42,16.06,16.42,22875033,371322786.76,2,1.4734,2.3053
2026-03-25,16.49,16.68,16.42,16.56,20959425,347342851.15,2,1.35,0.8526
2026-03-26,16.57,16.58,16.17,16.24,17373390,283544183.71,2,1.1191,-1.9324
2026-03-27,16.01,16.47,15.98,16.37,15413680,251564935.6,2,0.9928,0.8005
2026-03-30,16.2,16.47,16.03,16.41,16763316,273017789.08,2,1.0798,0.2443
2026-03-31,16.41,16.8,16.34,16.36,24295044,402844403.13,2,1.5649,-0.3047
2026-04-01,16.61,16.67,16.32,16.44,20622911,339144042.48,2,1.3284,0.489
2026-04-02,16.4,16.45,16.03,16.13,17496255,283810421.17,2,1.127,-1.8856
2026-04-03,16.19,16.25,15.79,15.89,16314460,260646558.32,2,1.0509,-1.4879
2026-04-07,15.99,16.08,15.81,15.88,10959049,174636406.42,2,0.7059,-0.0629
2026-04-08,16.16,16.56,16.16,16.53,23330890,382727826.02,2,1.5028,4.0932
2026-04-09,16.36,16.37,16.17,16.2,14329497,233084526.95,2,0.923,-1.9964
2026-04-10,16.38,16.74,16.33,16.41,20068147,331496137.04,2,1.2926,1.2963
2026-04-13,16.26,16.6,16.26,16.49,18655159,306868849.56,2,1.2016,0.4875
2026-04-14,16.6,16.9,16.48,16.85,25438040,424987920.63,2,1.6385,2.1831
2026-04-15,16.99,17.05,16.68,16.73,21448395,362116711.75,2,1.3815,-0.7122
2026-04-16,16.69,16.8,16.61,16.73,16968551,283105818.16,2,1.093,0.0
2026-04-17,16.7,16.73,16.45,16.58,18307216,303134323.76,2,1.1792,-0.8966
2026-04-20,16.6,16.94,16.6,16.91,23618749,397203426.35,2,1.5213,1.9903
2026-04-21,16.92,16.95,16.55,16.7,20241748,337810908.72,2,1.3038,-1.2419
2026-04-22,16.58,16.68,16.5,16.59,15322981,254179923.4,2,0.987,-0.6587
2026-04-23,16.63,16.89,16.35,16.48,21456601,356279897.58,2,1.3821,-0.6631
2026-04-24,16.39,16.5,16.09,16.12,19383062,313687874.32,2,1.2485,-2.1845
2026-04-27,16.0200000000,16.1200000000,15.8700000000,15.9700000000,20480033,326899571.8800,2,1.319200,-0.930500
