date,open,high,low,close,volume,amount,adjustflag,turn,pctChg
2026-03-02,28.5600,29.0000,28.2400,28.5600,1427973,40816585.0100,3,0.716000,-0.660900
2026-03-03,28.5100,28.8700,28.0000,28.4700,2421211,69047128.3800,3,1.214100,-0.315100
2026-03-04,28.1600,28.7800,28.1200,28.7300,1655437,47059911.0200,3,0.830100,0.913200
2026-03-05,28.9500,29.0000,28.3900,28.5000,1382229,39657259.2100,3,0.693100,-0.800600
2026-03-06,28.2900,29.3000,28.2800,29.2800,2969569,86067995.1100,3,1.489000,2.736800
2026-03-09,29.0200,29.8700,28.6800,29.8600,3320669,97673232.4300,3,1.665100,1.980900
2026-03-10,29.7600,30.5800,29.7600,30.4100,2996997,90720896.3900,3,1.502800,1.841900
2026-03-11,30.3100,30.5600,30.1300,30.3700,2836185,86187092.2400,3,1.422100,-0.131500
2026-03-12,30.4200,30.7800,29.8300,30.3300,3895165,118084461.0900,3,1.953100,-0.131700
2026-03-13,30.2300,30.3900,29.6900,29.9500,3063108,91872431.6600,3,1.535900,-1.252900
2026-03-16,29.8200,30.7000,29.6000,30.4000,3900268,117574807.7900,3,1.955700,1.502500
2026-03-17,30.4000,30.6200,29.8400,29.9000,2643429,79979555.7400,3,1.325500,-1.644700
2026-03-18,29.8500,30.3600,29.8100,30.3100,3188689,96195464.9700,3,1.598900,1.371200
2026-03-19,30.0000,30.1900,29.6300,29.8300,3085115,92331492.9900,3,1.547000,-1.583600
2026-03-20,29.8800,30.1700,29.4800,29.6200,3618508,107719425.3200,3,1.814400,-0.704000
2026-03-23,29.5000,29.5000,27.9800,28.0600,3162787,90415009.9400,3,1.585900,-5.266700
2026-03-24,28.5000,28.7000,28.0300,28.6400,2878304,81385401.1700,3,1.443300,2.067000
2026-03-25,28.6800,29.2800,28.5300,28.8800,2005297,58040871.9300,3,1.005500,0.838000
2026-03-26,28.9800,29.1700,28.5500,28.8000,1962186,56643580.3400,3,0.983900,-0.277000
2026-03-27,28.7900,29.8600,28.6000,29.6900,3630536,106198584.4900,3,1.820400,3.090300
2026-03-30,29.4000,29.8500,29.1600,29.3100,1881973,55438898.5100,3,0.943700,-1.279900
2026-03-31,29.5600,30.1500,29.2500,29.3600,2132023,63120054.3600,3,1.069100,0.170600
2026-04-01,29.5000,31.8000,29.4700,31.4000,7048536,217014870.1700,3,3.534300,6.948200
2026-04-02,31.5600,32.9000,31.5100,32.6600,9520479,308071284.9400,3,4.773800,4.012700
2026-04-03,32.2300,33.6000,31.8800,32.3700,7087267,231349274.4200,3,3.553700,-0.887900
2026-04-07,32.3800,32.4200,31.2200,31.6000,4467902,141848889.2900,3,2.240300,-2.378700
2026-04-08,32.2300,32.5000,31.3600,32.1800,4952474,157687461.8100,3,2.483300,1.835400
2026-04-09,31.8800,32.9200,31.5000,31.7400,4182888,134098065.9800,3,2.097400,-1.367300
2026-04-10,31.9800,32.6000,31.2500,32.2000,4466713,143096637.5600,3,2.239700,1.449300
2026-04-13,32.2000,32.2500,30.9000,31.0500,4459323,139727405.4600,3,2.236000,-3.571400
2026-04-14,31.4800,31.7200,30.7000,31.7000,3456126,107974354.8800,3,1.733000,2.093400
