date,open,high,low,close,volume,amount,adjustflag,turn,pctChg
2026-03-02,2.53,2.53,2.47,2.5,35569913,89051451.5,2,1.0672,-1.9608
2026-03-03,2.5,2.52,2.44,2.45,34128100,84645877.0,2,1.0239,-2.0
2026-03-04,2.44,2.47,2.42,2.45,22384120,54731504.6,2,0.6716,0.0
2026-03-05,2.46,2.49,2.45,2.45,19879003,49050512.41,2,0.5964,0.0
2026-03-06,2.45,2.48,2.44,2.48,17941961,44219527.06,2,0.5383,1.2245
2026-03-09,2.46,2.51,2.45,2.5,24397406,60388316.7,2,0.732,0.8065
2026-03-10,2.5,2.52,2.49,2.51,19390800,48554140.0,2,0.5818,0.4
2026-03-11,2.51,2.51,2.49,2.5,14386300,36005526.0,2,0.4316,-0.3984
2026-03-12,2.51,2.56,2.5,2.54,44313740,112313292.2,2,1.3295,1.6
2026-03-13,2.53,2.54,2.51,2.51,26538550,66913881.0,2,0.7962,-1.1811
2026-03-16,2.52,2.55,2.51,2.54,24224350,61273327.5,2,0.7268,1.1952
2026-03-17,2.54,2.57,2.5,2.51,39291500,99798318.0,2,1.1788,-1.1811
2026-03-18,2.51,2.52,2.47,2.51,26717000,66652600.0,2,0.8016,0.0
2026-03-19,2.49,2.5,2.44,2.45,31021000,76573354.0,2,0.9307,-2.3904
2026-03-20,2.45,2.47,2.4,2.4,26921466,65565860.4,2,0.8077,-2.0408
2026-03-23,2.37,2.37,2.28,2.29,35021567,81340069.41,2,1.0507,-4.5833
2026-03-24,2.32,2.35,2.3,2.35,21049990,48963954.5,2,0.6315,2.6201
2026-03-25,2.35,2.39,2.35,2.39,16478174,39127354.38,2,0.4944,1.7021
2026-03-26,2.38,2.4,2.36,2.37,15254030,36207340.1,2,0.4576,-0.8368
2026-03-27,2.36,2.41,2.34,2.4,14583931,34661796.0,2,0.4375,1.2658
2026-03-30,2.37,2.4,2.34,2.39,15679282,37232536.04,2,0.4704,-0.4167
2026-03-31,2.39,2.51,2.39,2.45,44885835,110844956.67,2,1.3467,2.5105
2026-04-01,2.45,2.47,2.43,2.45,23599805,57719186.2,2,0.708,0.0
2026-04-02,2.44,2.45,2.39,2.4,19820352,47917846.32,2,0.5946,-2.0408
2026-04-03,2.41,2.42,2.36,2.39,15000405,35794792.82,2,0.45,-0.4167
2026-04-07,2.38,2.39,2.37,2.37,12585100,29961190.0,2,0.3776,-0.8368
2026-04-08,2.4,2.44,2.4,2.43,17398242,42050204.82,2,0.522,2.5316
2026-04-09,2.42,2.42,2.4,2.4,12085961,29081399.4,2,0.3626,-1.2346
2026-04-10,2.41,2.44,2.4,2.41,11699950,28289385.5,2,0.351,0.4167
2026-04-13,2.4,2.44,2.4,2.44,14692465,35651974.95,2,0.4408,1.2448
2026-04-14,2.44,2.44,2.41,2.42,13995000,33904781.0,2,0.4199,-0.8197
2026-04-15,2.43,2.43,2.4,2.4,10862802,26216152.82,2,0.3259,-0.8264
2026-04-16,2.4,2.41,2.39,2.4,12744656,30583514.88,2,0.3824,0.0
2026-04-17,2.41,2.41,2.38,2.4,12383600,29621146.0,2,0.3715,0.0
2026-04-20,2.39,2.43,2.38,2.43,14782618,35567775.62,2,0.4435,1.25
2026-04-21,2.43,2.43,2.39,2.41,19451699,46792190.6,2,0.5836,-0.823
2026-04-22,2.4,2.41,2.39,2.4,12392600,29762000.0,2,0.3718,-0.4149
2026-04-23,2.4,2.4,2.38,2.38,14350201,34246336.89,2,0.4305,-0.8333
2026-04-24,2.38,2.4,2.38,2.39,10449695,24975618.11,2,0.3135,0.4202
2026-04-27,2.3900000000,2.4000000000,2.3800000000,2.3900000000,10440280,24932525.1000,2,0.313200,0.000000
