date,open,high,low,close,volume,amount,adjustflag,turn,pctChg
2026-03-02,108.47,112.01,106.0,109.3,6622844,722739971.95,2,11.3599,0.5057
2026-03-03,108.0,109.2,100.21,100.22,5470949,561513188.51,2,9.3841,-8.3074
2026-03-04,98.5,102.22,98.0,99.91,3432338,344823140.98,2,5.8874,-0.3093
2026-03-05,101.85,103.86,97.98,99.74,3266928,327771739.51,2,5.6037,-0.1702
2026-03-06,98.99,103.0,98.61,100.53,2905057,293713953.52,2,4.9829,0.7921
2026-03-09,98.5,100.22,96.16,99.47,3085165,302132577.64,2,5.2919,-1.0544
2026-03-10,101.83,104.88,101.06,103.5,3988478,411245299.89,2,6.8413,4.0515
2026-03-11,103.65,105.91,101.01,102.61,3990118,411164440.54,2,6.8441,-0.8599
2026-03-12,102.06,109.5,102.06,107.08,7615639,810161312.45,2,13.0628,4.3563
2026-03-13,107.47,111.0,104.86,108.83,8312228,901418409.44,2,14.2577,1.6343
2026-03-16,107.75,108.8,102.0,104.93,4676092,486730461.99,2,8.0207,-3.5836
2026-03-17,108.97,116.92,107.0,109.34,10039520,1129331548.54,2,17.2204,4.2028
2026-03-18,111.01,131.21,108.97,131.21,13789818,1677004333.64,2,23.6532,20.0018
2026-03-19,131.76,146.8,131.76,141.7,16227350,2238431138.05,2,27.8342,7.9948
2026-03-20,137.0,138.0,130.75,131.77,11959448,1601849282.24,2,20.5136,-7.0078
2026-03-23,125.36,143.6,125.24,138.51,12413245,1708074111.97,2,21.292,5.115
2026-03-24,138.78,141.0,128.1,135.67,10590195,1424946620.92,2,18.165,-2.0504
2026-03-25,131.9,138.0,130.9,132.71,8452706,1133641810.17,2,14.4986,-2.1818
2026-03-26,136.0,159.25,133.0,154.32,14648770,2112016791.27,2,25.1265,16.2836
2026-03-27,144.99,155.55,141.0,150.71,10055621,1498148357.52,2,17.2481,-2.3393
2026-03-30,146.41,169.99,146.0,161.04,12332721,1981900549.86,2,21.1539,6.8542
2026-03-31,160.01,176.0,152.9,157.16,12819624,2082592261.26,2,21.9891,-2.4093
2026-04-01,159.02,166.36,149.21,162.2,10946874,1724728791.54,2,18.7768,3.2069
2026-04-02,160.03,164.95,153.05,154.8,7767154,1220927286.76,2,13.3227,-4.5623
2026-04-03,156.0,158.01,143.05,145.3,8561074,1268269324.51,2,14.6845,-6.137
2026-04-07,146.1,147.39,138.88,140.0,6334037,898395094.91,2,10.8646,-3.6476
2026-04-08,143.1,155.95,142.2,152.32,7969763,1202125666.26,2,13.6703,8.8
2026-04-09,152.34,162.0,149.5,154.56,8206688,1282808765.26,2,14.0767,1.4706
2026-04-10,154.61,158.31,148.5,148.64,7004956,1069453954.15,2,12.0154,-3.8302
2026-04-13,146.8,167.5,146.8,159.04,8921229,1417059430.79,2,15.3023,6.9968
2026-04-14,158.8,163.6,153.49,163.56,9960502,1580536154.83,2,17.0849,2.8421
2026-04-15,163.0,185.79,161.0,175.01,12268630,2115550752.93,2,21.044,7.0005
2026-04-16,178.43,180.0,170.5,173.0,8652751,1506864785.5,2,14.8418,-1.1485
2026-04-17,172.0,174.77,168.0,173.94,6929306,1188734780.12,2,11.8856,0.5434
2026-04-20,176.2,188.5,168.0,179.38,10229219,1810663255.67,2,17.5458,3.1275
2026-04-21,177.59,180.88,170.28,175.88,6483476,1139880366.77,2,11.1209,-1.9512
2026-04-22,170.13,183.0,169.58,173.72,7244367,1273612282.57,2,12.426,-1.2281
2026-04-23,172.0100000000,180.0000000000,165.5000000000,168.8000000000,6735148,1150331123.2300,2,11.552600,-2.832100
