date,open,high,low,close,volume,amount,adjustflag,turn,pctChg
2026-03-02,33.0,33.35,31.33,31.83,15625020,499174430.7,2,7.1711,-5.7447
2026-03-03,31.83,32.18,29.96,30.01,11003978,338821288.73,2,5.0503,-5.7179
2026-03-04,29.93,30.52,29.55,29.87,6901018,206509466.76,2,3.1672,-0.4665
2026-03-05,30.34,30.8,29.6,29.85,7502366,225849303.99,2,3.4432,-0.067
2026-03-06,29.67,31.17,29.4,30.7,10285121,310845462.95,2,4.7204,2.8476
2026-03-09,29.99,30.33,29.08,30.09,8625063,256243082.68,2,3.9585,-1.987
2026-03-10,30.61,30.69,30.05,30.52,5983128,181946298.5,2,2.746,1.429
2026-03-11,30.51,30.87,30.0,30.15,6502961,197048237.83,2,2.9845,-1.2123
2026-03-12,30.09,30.19,29.04,29.26,6427627,189482805.79,2,2.95,-2.9519
2026-03-13,29.23,29.54,28.79,28.91,4826442,140382036.32,2,2.2151,-1.1962
2026-03-16,28.88,30.1,28.4,29.55,7136236,208769444.79,2,3.2752,2.2138
2026-03-17,29.45,29.62,28.6,28.63,4518024,131155726.32,2,2.0736,-3.1134
2026-03-18,28.63,29.09,28.27,29.01,4017420,115375592.0,2,1.8438,1.3273
2026-03-19,28.66,28.74,27.71,27.88,4060221,114170059.62,2,1.8634,-3.8952
2026-03-20,27.88,28.29,27.18,27.23,5026002,139462664.89,2,2.3067,-2.3314
2026-03-23,26.9,27.5,25.65,25.84,7893169,209525366.37,2,3.6226,-5.1047
2026-03-24,26.37,26.79,25.75,26.7,6697700,176167375.0,2,3.0739,3.3282
2026-03-25,26.69,27.6,26.69,27.38,5498829,150195452.95,2,2.5237,2.5468
2026-03-26,27.37,27.73,26.9,27.16,4374400,119410214.0,2,2.0076,-0.8035
2026-03-27,26.76,27.85,26.7,27.68,4586067,125683704.63,2,2.1048,1.9146
2026-03-30,27.41,27.98,27.02,27.97,4794408,132327970.6,2,2.2004,1.0477
2026-03-31,27.91,28.15,27.24,27.24,4018300,111138961.0,2,1.8442,-2.6099
2026-04-01,27.71,28.0,27.61,27.9,4105442,114219503.44,2,1.8842,2.4229
2026-04-02,27.89,27.96,26.89,27.08,3674400,100188070.79,2,1.6864,-2.9391
2026-04-03,27.1,27.35,26.4,26.48,2911100,77424242.84,2,1.3361,-2.2157
2026-04-07,26.61,27.1,26.51,26.86,4105307,110216637.16,2,1.8841,1.435
2026-04-08,27.33,29.75,26.88,29.33,10949308,316985508.84,2,5.0252,9.1958
2026-04-09,28.99,29.2,28.14,28.21,7681000,218816343.0,2,3.5252,-3.8186
2026-04-10,28.41,29.39,28.21,28.38,6215721,178268361.97,2,2.8527,0.6026
2026-04-13,28.17,28.37,27.88,27.94,4466560,125398824.4,2,2.0499,-1.5504
2026-04-14,28.18,29.33,27.97,29.12,10920616,313800355.46,2,5.012,4.2233
2026-04-15,29.4,29.5,28.28,28.37,8065842,232622280.01,2,3.7018,-2.5755
2026-04-16,28.36,29.29,28.25,28.96,7023037,202076481.21,2,3.2232,2.0797
2026-04-17,28.95,31.49,28.45,30.61,19276867,582941562.36,2,8.8471,5.6975
2026-04-20,30.43,30.92,29.88,30.57,13253622,401490349.28,2,6.0828,-0.1307
2026-04-21,30.25,30.82,29.82,30.78,10058013,304797466.69,2,4.6161,0.6869
2026-04-22,30.7000000000,32.1600000000,30.5000000000,31.4500000000,15942168,503455229.3000,2,7.316700,2.176700
